,precision,recall,f1-score,support
other_activities,0.7913043478260869,0.7647058823529411,0.7777777777777778,119.0
safe_driving,0.9244186046511628,0.9408284023668639,0.9325513196480938,169.0
talking_phone,0.9281045751633987,0.9342105263157895,0.9311475409836065,152.0
texting_phone,0.9801324503311258,0.9426751592356688,0.961038961038961,157.0
turning,0.8865248226950354,0.9259259259259259,0.9057971014492754,135.0
accuracy,0.9084699453551912,0.9084699453551912,0.9084699453551912,0.9084699453551912
macro avg,0.902096960133362,0.9016691792394378,0.9016625401795431,732.0
weighted avg,0.9085047852021912,0.9084699453551912,0.9082744267545909,732.0
